frame,second,id,label,x1,y1,x2,y2,vx1,vy1,vx2,vy2,distance_m,speed_kmh,video
41,1.64,0,car,809,407,951,498,-1.0,-1.0,0.0,0.0,9.68,2.52,challenge_data
42,1.68,0,car,811,408,950,499,2.0,1.0,-1.0,1.0,9.89,2.37,challenge_data
43,1.72,0,car,811,409,948,499,0.0,1.0,-2.0,0.0,10.04,2.21,challenge_data
44,1.76,0,car,813,408,946,498,2.0,-1.0,-2.0,-1.0,10.34,1.67,challenge_data
45,1.8,0,car,814,407,945,498,1.0,-1.0,-1.0,0.0,10.5,1.93,challenge_data
46,1.84,0,car,815,407,942,498,1.0,0.0,-3.0,0.0,10.83,2.22,challenge_data
47,1.88,0,car,814,407,942,497,-1.0,0.0,0.0,-1.0,10.74,2.27,challenge_data
48,1.92,0,car,811,407,945,497,-3.0,0.0,3.0,0.0,10.26,2.42,challenge_data
49,1.96,0,car,811,407,946,497,0.0,0.0,1.0,0.0,10.19,2.48,challenge_data
50,2.0,0,car,813,407,945,497,2.0,0.0,-1.0,0.0,10.42,2.15,challenge_data
51,2.04,0,car,812,408,945,498,-1.0,1.0,0.0,1.0,10.34,3.19,challenge_data
52,2.08,0,car,810,408,948,498,-2.0,0.0,3.0,0.0,9.96,3.07,challenge_data
53,2.12,0,car,810,408,946,498,0.0,0.0,-2.0,0.0,10.11,2.9,challenge_data
54,2.16,0,car,808,407,946,497,-2.0,-1.0,0.0,-1.0,9.96,3.11,challenge_data
55,2.2,0,car,807,407,948,498,-1.0,0.0,2.0,1.0,9.75,2.86,challenge_data
56,2.24,0,car,807,407,950,498,0.0,0.0,2.0,0.0,9.62,1.47,challenge_data
57,2.28,0,car,813,407,946,495,6.0,0.0,-4.0,-3.0,10.34,1.5,challenge_data
58,2.32,0,car,809,408,945,496,-4.0,1.0,-1.0,1.0,10.11,1.27,challenge_data
59,2.36,0,car,807,408,943,495,-2.0,0.0,-2.0,-1.0,10.11,0.91,challenge_data
60,2.4,0,car,811,408,944,494,4.0,0.0,1.0,-1.0,10.34,1.29,challenge_data
61,2.44,0,car,809,408,943,494,-2.0,0.0,-1.0,0.0,10.26,1.4,challenge_data
62,2.48,0,car,808,407,941,493,-1.0,-1.0,-2.0,-1.0,10.34,1.7,challenge_data
63,2.52,0,car,810,407,947,493,2.0,0.0,6.0,0.0,10.04,3.93,challenge_data
64,2.56,0,car,813,406,947,492,3.0,-1.0,0.0,-1.0,10.26,4.79,challenge_data
65,2.6,0,car,814,406,944,492,1.0,0.0,-3.0,0.0,10.58,5.33,challenge_data
66,2.64,0,car,815,408,944,493,1.0,2.0,0.0,1.0,10.66,6.07,challenge_data
67,2.68,0,car,815,407,943,494,0.0,-1.0,-1.0,1.0,10.74,6.59,challenge_data
68,2.72,0,car,816,406,946,493,1.0,-1.0,3.0,-1.0,10.58,5.52,challenge_data
69,2.76,0,car,815,406,940,492,-1.0,0.0,-6.0,-1.0,11.0,6.21,challenge_data
70,2.8,0,car,817,407,942,492,2.0,1.0,2.0,0.0,11.0,7.11,challenge_data
71,2.84,0,car,812,407,942,494,-5.0,0.0,0.0,2.0,10.58,7.64,challenge_data
72,2.88,0,car,812,407,940,495,0.0,0.0,-2.0,1.0,10.74,8.81,challenge_data
73,2.92,0,car,813,406,942,495,1.0,-1.0,2.0,0.0,10.66,9.95,challenge_data
74,2.96,0,car,814,406,944,494,1.0,0.0,2.0,-1.0,10.58,11.47,challenge_data
75,3.0,0,car,814,406,946,495,0.0,0.0,2.0,1.0,10.42,13.79,challenge_data
76,3.04,0,car,814,407,945,494,0.0,1.0,-1.0,-1.0,10.5,16.17,challenge_data
77,3.08,0,car,814,408,944,493,0.0,1.0,-1.0,-1.0,10.58,18.41,challenge_data
78,3.12,0,car,814,408,944,493,0.0,0.0,0.0,0.0,10.58,20.87,challenge_data
79,3.16,0,car,814,408,946,492,0.0,0.0,2.0,-1.0,10.42,22.63,challenge_data
80,3.2,0,car,815,407,944,491,1.0,-1.0,-2.0,-1.0,10.66,24.12,challenge_data
81,3.24,0,car,816,406,941,491,1.0,-1.0,-3.0,0.0,11.0,26.11,challenge_data
82,3.28,0,car,814,406,940,492,-2.0,0.0,-1.0,1.0,10.91,27.16,challenge_data
83,3.32,0,car,811,407,942,493,-3.0,1.0,2.0,1.0,10.5,27.13,challenge_data
84,3.36,0,car,813,407,942,493,2.0,0.0,0.0,0.0,10.66,27.5,challenge_data
85,3.4,0,car,812,407,942,493,-1.0,0.0,0.0,0.0,10.58,26.58,challenge_data
86,3.44,0,car,811,407,946,494,-1.0,0.0,4.0,1.0,10.19,25.95,challenge_data
87,3.48,0,car,813,406,948,494,2.0,-1.0,2.0,0.0,10.19,25.46,challenge_data
88,3.52,0,car,811,407,947,495,-2.0,1.0,-1.0,1.0,10.11,26.35,challenge_data
89,3.56,0,car,811,408,946,495,0.0,1.0,-1.0,0.0,10.19,25.97,challenge_data
90,3.6,0,car,814,409,945,496,3.0,1.0,-1.0,1.0,10.5,25.95,challenge_data
91,3.64,0,car,814,408,949,495,0.0,-1.0,4.0,-1.0,10.19,23.88,challenge_data
92,3.68,0,car,812,407,950,494,-2.0,-1.0,1.0,-1.0,9.96,21.73,challenge_data
93,3.72,0,car,811,407,947,492,-1.0,0.0,-3.0,-2.0,10.11,19.76,challenge_data
94,3.76,0,car,812,407,943,490,1.0,0.0,-4.0,-2.0,10.5,17.17,challenge_data
95,3.8,0,car,812,406,943,491,0.0,-1.0,0.0,1.0,10.5,14.12,challenge_data
96,3.84,0,car,813,407,943,491,1.0,1.0,0.0,0.0,10.58,11.75,challenge_data
97,3.88,0,car,813,408,943,491,0.0,1.0,0.0,0.0,10.58,10.74,challenge_data
98,3.92,0,car,813,408,944,493,0.0,0.0,1.0,2.0,10.5,10.14,challenge_data
99,3.96,0,car,812,407,945,493,-1.0,-1.0,1.0,0.0,10.34,9.64,challenge_data
100,4.0,0,car,812,406,944,493,0.0,-1.0,-1.0,0.0,10.42,8.33,challenge_data
101,4.04,0,car,811,406,940,491,-1.0,0.0,-4.0,-2.0,10.66,8.7,challenge_data
102,4.08,0,car,811,406,938,491,0.0,0.0,-2.0,0.0,10.83,7.77,challenge_data
103,4.12,0,car,810,407,942,491,-1.0,1.0,4.0,0.0,10.42,7.07,challenge_data
104,4.16,0,car,811,408,941,491,1.0,1.0,-1.0,0.0,10.58,5.89,challenge_data
105,4.2,0,car,812,409,942,491,1.0,1.0,1.0,0.0,10.58,6.86,challenge_data
106,4.24,0,car,814,409,941,493,2.0,0.0,-1.0,2.0,10.83,7.13,challenge_data
107,4.28,0,car,813,407,941,493,-1.0,-2.0,0.0,0.0,10.74,6.38,challenge_data
108,4.32,0,car,813,407,942,493,0.0,0.0,1.0,0.0,10.66,5.3,challenge_data
109,4.36,0,car,814,406,941,492,1.0,-1.0,-1.0,-1.0,10.83,4.98,challenge_data
110,4.4,0,car,815,407,940,492,1.0,1.0,-1.0,0.0,11.0,4.87,challenge_data
111,4.44,0,car,813,408,941,492,-2.0,1.0,1.0,0.0,10.74,3.79,challenge_data
112,4.48,0,car,812,407,944,491,-1.0,-1.0,3.0,-1.0,10.42,4.91,challenge_data
113,4.52,0,car,812,404,942,488,0.0,-3.0,-2.0,-3.0,10.58,4.43,challenge_data
114,4.56,0,car,807,401,944,484,-5.0,-3.0,2.0,-4.0,10.04,5.12,challenge_data
115,4.6,0,car,805,402,945,483,-2.0,1.0,1.0,-1.0,9.82,5.39,challenge_data
116,4.64,0,car,811,405,943,488,6.0,3.0,-2.0,5.0,10.42,6.73,challenge_data
117,4.68,0,car,816,405,943,488,5.0,0.0,0.0,0.0,10.83,6.37,challenge_data
118,4.72,0,car,819,407,943,491,3.0,2.0,0.0,3.0,11.09,6.53,challenge_data
119,4.76,0,car,819,407,944,491,0.0,0.0,1.0,0.0,11.0,6.74,challenge_data
120,4.8,0,car,817,407,944,491,-2.0,0.0,0.0,0.0,10.83,6.33,challenge_data
121,4.84,0,car,817,408,944,492,0.0,1.0,0.0,1.0,10.83,5.44,challenge_data
122,4.88,0,car,815,405,943,489,-2.0,-3.0,-1.0,-3.0,10.74,6.3,challenge_data
123,4.92,0,car,813,405,940,488,-2.0,0.0,-3.0,-1.0,10.83,6.34,challenge_data
124,4.96,0,car,812,404,939,487,-1.0,-1.0,-1.0,-1.0,10.83,6.23,challenge_data
125,5.0,0,car,813,404,939,487,1.0,0.0,0.0,0.0,10.91,6.35,challenge_data
126,5.04,0,car,812,404,940,487,-1.0,0.0,1.0,0.0,10.74,7.15,challenge_data
127,5.08,0,car,814,404,942,487,2.0,0.0,2.0,0.0,10.74,7.28,challenge_data
128,5.12,0,car,816,405,940,488,2.0,1.0,-2.0,1.0,11.09,7.95,challenge_data
129,5.16,0,car,816,406,940,489,0.0,1.0,0.0,1.0,11.09,8.87,challenge_data
130,5.2,0,car,815,404,938,488,-1.0,-2.0,-2.0,-1.0,11.18,10.13,challenge_data
131,5.24,0,car,816,405,941,488,1.0,1.0,3.0,0.0,11.0,10.32,challenge_data
132,5.28,0,car,816,405,941,488,0.0,0.0,0.0,0.0,11.0,11.09,challenge_data
133,5.32,0,car,815,403,940,487,-1.0,-2.0,-1.0,-1.0,11.0,12.66,challenge_data
134,5.36,0,car,811,402,938,487,-4.0,-1.0,-2.0,0.0,10.83,13.38,challenge_data
135,5.4,0,car,811,403,940,485,0.0,1.0,2.0,-2.0,10.66,14.2,challenge_data
136,5.44,0,car,814,403,940,487,3.0,0.0,0.0,2.0,10.91,16.22,challenge_data
137,5.48,0,car,813,406,938,489,-1.0,3.0,-2.0,2.0,11.0,16.75,challenge_data
138,5.52,0,car,813,408,938,490,0.0,2.0,0.0,1.0,11.0,16.47,challenge_data
139,5.56,0,car,814,408,940,491,1.0,0.0,2.0,1.0,10.91,16.76,challenge_data
140,5.6,0,car,811,406,940,489,-3.0,-2.0,0.0,-2.0,10.66,17.59,challenge_data
141,5.64,0,car,813,407,937,489,2.0,1.0,-3.0,0.0,11.09,17.7,challenge_data
142,5.68,0,car,809,407,937,488,-4.0,0.0,0.0,-1.0,10.74,19.42,challenge_data
143,5.72,0,car,807,405,935,486,-2.0,-2.0,-2.0,-2.0,10.74,21.32,challenge_data
144,5.76,0,car,811,405,936,487,4.0,0.0,1.0,1.0,11.0,23.02,challenge_data
145,5.8,0,car,812,405,936,489,1.0,0.0,0.0,2.0,11.09,23.44,challenge_data
146,5.84,0,car,812,407,935,490,0.0,2.0,-1.0,1.0,11.18,23.24,challenge_data
147,5.88,0,car,816,409,935,492,4.0,2.0,0.0,2.0,11.55,22.12,challenge_data
148,5.92,0,car,814,406,933,490,-2.0,-3.0,-2.0,-2.0,11.55,24.2,challenge_data
149,5.96,0,car,813,407,930,491,-1.0,1.0,-3.0,1.0,11.75,25.69,challenge_data
150,6.0,0,car,812,405,929,490,-1.0,-2.0,-1.0,-1.0,11.75,26.16,challenge_data
151,6.04,0,car,810,404,928,485,-2.0,-1.0,-1.0,-5.0,11.65,24.6,challenge_data
152,6.08,0,car,811,405,929,487,1.0,1.0,1.0,2.0,11.65,23.23,challenge_data
153,6.12,0,car,814,406,932,486,3.0,1.0,3.0,-1.0,11.65,21.86,challenge_data
154,6.16,0,car,812,405,930,486,-2.0,-1.0,-2.0,0.0,11.65,18.81,challenge_data
155,6.2,0,car,813,400,928,482,1.0,-5.0,-2.0,-4.0,11.96,16.52,challenge_data
156,6.24,0,car,816,404,935,486,3.0,4.0,7.0,4.0,11.55,16.48,challenge_data
157,6.28,0,car,813,403,934,486,-3.0,-1.0,-1.0,0.0,11.36,15.2,challenge_data
158,6.32,0,car,815,400,937,485,2.0,-3.0,3.0,-1.0,11.27,11.62,challenge_data
159,6.36,0,car,814,400,934,484,-1.0,0.0,-3.0,-1.0,11.46,9.34,challenge_data
160,6.4,0,car,810,400,931,484,-4.0,0.0,-3.0,0.0,11.36,7.52,challenge_data
161,6.44,0,car,812,400,931,485,2.0,0.0,0.0,1.0,11.55,6.03,challenge_data
162,6.48,0,car,811,401,930,485,-1.0,1.0,-1.0,0.0,11.55,7.01,challenge_data
163,6.52,0,car,810,400,935,484,-1.0,-1.0,5.0,-1.0,11.0,6.26,challenge_data
164,6.56,0,car,812,404,933,486,2.0,4.0,-2.0,2.0,11.36,6.27,challenge_data
165,6.6,0,car,813,407,935,489,1.0,3.0,2.0,3.0,11.27,6.12,challenge_data
166,6.64,0,car,814,408,933,489,1.0,1.0,-2.0,0.0,11.55,7.0,challenge_data
167,6.68,0,car,815,408,934,489,1.0,0.0,1.0,0.0,11.55,5.17,challenge_data
168,6.72,0,car,816,409,934,491,1.0,1.0,0.0,2.0,11.65,5.99,challenge_data
169,6.76,0,car,811,409,933,492,-5.0,0.0,-1.0,1.0,11.27,6.18,challenge_data
170,6.8,0,car,809,410,931,493,-2.0,1.0,-2.0,1.0,11.27,7.19,challenge_data
171,6.84,0,car,809,414,930,494,0.0,4.0,-1.0,1.0,11.36,6.96,challenge_data
172,6.88,0,car,807,414,931,493,-2.0,0.0,1.0,-1.0,11.09,7.94,challenge_data
173,6.92,0,car,809,409,929,489,2.0,-5.0,-2.0,-4.0,11.46,8.07,challenge_data
174,6.96,0,car,810,407,928,488,1.0,-2.0,-1.0,-1.0,11.65,8.5,challenge_data
175,7.0,0,car,811,404,927,485,1.0,-3.0,-1.0,-3.0,11.85,8.59,challenge_data
176,7.04,0,car,813,403,929,484,2.0,-1.0,2.0,-1.0,11.85,8.52,challenge_data
177,7.08,0,car,810,403,931,484,-3.0,0.0,2.0,0.0,11.36,8.22,challenge_data
178,7.12,0,car,810,403,931,484,0.0,0.0,0.0,0.0,11.36,7.65,challenge_data
179,7.16,0,car,809,403,929,484,-1.0,0.0,-2.0,0.0,11.46,7.63,challenge_data
180,7.2,0,car,809,404,926,485,0.0,1.0,-3.0,1.0,11.75,7.06,challenge_data
181,7.24,0,car,809,404,929,485,0.0,0.0,3.0,0.0,11.46,6.92,challenge_data
182,7.28,0,car,810,404,926,485,1.0,0.0,-3.0,0.0,11.85,6.52,challenge_data
183,7.32,0,car,810,405,923,484,0.0,1.0,-3.0,-1.0,12.17,6.0,challenge_data
184,7.36,0,car,811,405,925,484,1.0,0.0,2.0,0.0,12.06,5.38,challenge_data
185,7.4,0,car,810,405,925,485,-1.0,0.0,0.0,1.0,11.96,4.77,challenge_data
186,7.44,0,car,808,404,925,485,-2.0,-1.0,0.0,0.0,11.75,4.76,challenge_data
187,7.48,0,car,810,404,925,486,2.0,0.0,0.0,1.0,11.96,4.92,challenge_data
188,7.52,0,car,809,405,927,487,-1.0,1.0,2.0,1.0,11.65,5.22,challenge_data
189,7.56,0,car,808,405,927,486,-1.0,0.0,0.0,-1.0,11.55,5.39,challenge_data
190,7.6,0,car,808,405,925,485,0.0,0.0,-2.0,-1.0,11.75,6.08,challenge_data
191,7.64,0,car,809,405,927,484,1.0,0.0,2.0,-1.0,11.65,6.31,challenge_data
192,7.68,0,car,808,405,928,483,-1.0,0.0,1.0,-1.0,11.46,6.37,challenge_data
193,7.72,0,car,807,404,925,483,-1.0,-1.0,-3.0,0.0,11.65,5.43,challenge_data
194,7.76,0,car,807,404,924,482,0.0,0.0,-1.0,-1.0,11.75,5.54,challenge_data
195,7.8,0,car,807,403,924,482,0.0,-1.0,0.0,0.0,11.75,4.44,challenge_data
196,7.84,0,car,806,402,926,482,-1.0,-1.0,2.0,0.0,11.46,4.01,challenge_data
197,7.88,0,car,803,404,925,482,-3.0,2.0,-1.0,0.0,11.27,4.04,challenge_data
198,7.92,0,car,806,405,924,484,3.0,1.0,-1.0,2.0,11.65,4.08,challenge_data
199,7.96,0,car,807,405,928,485,1.0,0.0,4.0,1.0,11.36,3.32,challenge_data
200,8.0,0,car,807,406,924,486,0.0,1.0,-4.0,1.0,11.75,3.66,challenge_data
201,8.04,0,car,805,405,923,485,-2.0,-1.0,-1.0,-1.0,11.65,3.54,challenge_data
202,8.08,0,car,802,404,923,485,-3.0,-1.0,0.0,0.0,11.36,3.07,challenge_data
203,8.12,0,car,802,404,923,484,0.0,0.0,0.0,-1.0,11.36,3.1,challenge_data
204,8.16,0,car,801,404,920,481,-1.0,0.0,-3.0,-3.0,11.55,3.34,challenge_data
205,8.2,0,car,801,405,917,483,0.0,1.0,-3.0,2.0,11.85,2.91,challenge_data
206,8.24,0,car,800,406,918,484,-1.0,1.0,1.0,1.0,11.65,2.27,challenge_data
207,8.28,0,car,800,407,921,484,0.0,1.0,3.0,0.0,11.36,1.84,challenge_data
208,8.32,0,car,799,407,918,484,-1.0,0.0,-3.0,0.0,11.55,1.55,challenge_data
209,8.36,0,car,801,407,918,484,2.0,0.0,0.0,0.0,11.75,1.7,challenge_data
210,8.4,0,car,799,405,918,485,-2.0,-2.0,0.0,1.0,11.55,1.85,challenge_data
211,8.44,0,car,800,406,921,484,1.0,1.0,3.0,-1.0,11.36,2.06,challenge_data
212,8.48,0,car,800,405,921,481,0.0,-1.0,0.0,-3.0,11.36,3.16,challenge_data
213,8.52,0,car,799,404,920,482,-1.0,-1.0,-1.0,1.0,11.36,3.78,challenge_data
214,8.56,0,car,798,404,919,481,-1.0,0.0,-1.0,-1.0,11.36,4.0,challenge_data
215,8.6,0,car,797,404,919,480,-1.0,0.0,0.0,-1.0,11.27,4.45,challenge_data
216,8.64,0,car,800,405,919,481,3.0,1.0,0.0,1.0,11.55,5.09,challenge_data
217,8.68,0,car,798,403,917,481,-2.0,-2.0,-2.0,0.0,11.55,4.86,challenge_data
218,8.72,0,car,800,403,915,482,2.0,0.0,-2.0,1.0,11.96,4.28,challenge_data
219,8.76,0,car,797,401,913,482,-3.0,-2.0,-2.0,0.0,11.85,3.79,challenge_data
220,8.8,0,car,798,402,914,482,1.0,1.0,1.0,0.0,11.85,3.08,challenge_data
221,8.84,0,car,796,404,915,482,-2.0,2.0,1.0,0.0,11.55,2.98,challenge_data
222,8.88,0,car,797,404,915,483,1.0,0.0,0.0,1.0,11.65,2.77,challenge_data
223,8.92,0,car,798,405,914,484,1.0,1.0,-1.0,1.0,11.85,3.38,challenge_data
224,8.96,0,car,800,406,913,484,2.0,1.0,-1.0,0.0,12.17,3.98,challenge_data
225,9.0,0,car,799,403,913,484,-1.0,-3.0,0.0,0.0,12.06,4.49,challenge_data
226,9.04,0,car,800,405,912,484,1.0,2.0,-1.0,0.0,12.28,4.27,challenge_data
227,9.08,0,car,801,407,911,484,1.0,2.0,-1.0,0.0,12.5,4.29,challenge_data
228,9.12,0,car,803,407,908,483,2.0,0.0,-3.0,-1.0,13.1,4.67,challenge_data
229,9.16,0,car,803,407,908,483,0.0,0.0,0.0,0.0,13.1,3.74,challenge_data
230,9.2,0,car,802,404,906,482,-1.0,-3.0,-2.0,-1.0,13.22,3.53,challenge_data
231,9.24,0,car,799,402,906,480,-3.0,-2.0,0.0,-2.0,12.85,2.98,challenge_data
232,9.28,0,car,795,402,908,479,-4.0,0.0,2.0,-1.0,12.17,2.8,challenge_data
233,9.32,0,car,797,402,909,479,2.0,0.0,1.0,0.0,12.28,2.14,challenge_data
234,9.36,0,car,791,403,909,479,-6.0,1.0,0.0,0.0,11.65,2.61,challenge_data
235,9.4,0,car,796,403,908,479,5.0,0.0,-1.0,0.0,12.28,2.92,challenge_data
236,9.44,0,car,799,403,906,478,3.0,0.0,-2.0,-1.0,12.85,3.35,challenge_data
237,9.48,0,car,797,403,908,479,-2.0,0.0,2.0,1.0,12.39,3.11,challenge_data
238,9.52,0,car,797,402,907,478,0.0,-1.0,-1.0,-1.0,12.5,3.21,challenge_data
239,9.56,0,car,793,400,908,480,-4.0,-2.0,1.0,2.0,11.96,5.19,challenge_data
240,9.6,0,car,794,401,909,481,1.0,1.0,1.0,1.0,11.96,4.54,challenge_data
241,9.64,0,car,791,400,907,482,-3.0,-1.0,-2.0,1.0,11.85,4.11,challenge_data
242,9.68,0,car,794,403,903,483,3.0,3.0,-4.0,1.0,12.61,4.38,challenge_data
243,9.72,0,car,795,402,903,482,1.0,-1.0,0.0,-1.0,12.73,4.29,challenge_data
244,9.76,0,car,793,402,903,481,-2.0,0.0,0.0,-1.0,12.5,2.03,challenge_data
245,9.8,0,car,790,402,903,482,-3.0,0.0,0.0,1.0,12.17,2.15,challenge_data
246,9.84,0,car,789,402,904,483,-1.0,0.0,1.0,1.0,11.96,2.33,challenge_data
247,9.88,0,car,788,404,904,483,-1.0,2.0,0.0,0.0,11.85,1.88,challenge_data
248,9.92,0,car,789,404,904,483,1.0,0.0,0.0,0.0,11.96,1.57,challenge_data
249,9.96,0,car,789,404,904,483,0.0,0.0,0.0,0.0,11.96,1.11,challenge_data
250,10.0,0,car,789,404,902,483,0.0,0.0,-2.0,0.0,12.17,1.46,challenge_data
251,10.04,0,car,786,404,898,481,-3.0,0.0,-4.0,-2.0,12.28,2.0,challenge_data
2,0.08,1,car,953,402,1081,484,0.0,-1.0,0.0,0.0,10.74,0.6943000000000003,challenge_data
3,0.12,1,car,953,402,1083,484,0.0,0.0,2.0,0.0,10.58,1.19,challenge_data
4,0.16,1,car,946,401,1089,484,-7.0,-1.0,6.0,0.0,9.62,2.34,challenge_data
5,0.2,1,car,945,401,1090,485,-1.0,0.0,1.0,1.0,9.48,2.21,challenge_data
6,0.24,1,car,951,401,1091,485,6.0,0.0,1.0,0.0,9.82,2.73,challenge_data
7,0.28,1,car,958,401,1094,484,7.0,0.0,3.0,-1.0,10.11,3.48,challenge_data
8,0.32,1,car,959,400,1096,483,1.0,-1.0,2.0,-1.0,10.04,3.43,challenge_data
9,0.36,1,car,961,400,1097,483,2.0,0.0,1.0,0.0,10.11,2.6,challenge_data
10,0.4,1,car,959,401,1099,485,-2.0,1.0,2.0,2.0,9.82,2.53,challenge_data
11,0.44,1,car,959,403,1097,486,0.0,2.0,-2.0,1.0,9.96,2.33,challenge_data
12,0.48,1,car,957,402,1098,485,-2.0,-1.0,1.0,-1.0,9.75,1.61,challenge_data
13,0.52,1,car,957,402,1099,485,0.0,0.0,1.0,0.0,9.68,1.14,challenge_data
14,0.56,1,car,959,401,1100,486,2.0,-1.0,1.0,1.0,9.75,0.99,challenge_data
15,0.6,1,car,962,401,1098,485,3.0,0.0,-2.0,-1.0,10.11,0.83,challenge_data
16,0.64,1,car,962,403,1099,485,0.0,2.0,1.0,0.0,10.04,2.25,challenge_data
17,0.68,1,car,962,404,1103,486,0.0,1.0,4.0,1.0,9.75,2.48,challenge_data
18,0.72,1,car,960,404,1103,488,-2.0,0.0,0.0,2.0,9.62,2.63,challenge_data
19,0.76,1,car,960,405,1106,489,0.0,1.0,3.0,1.0,9.42,3.0,challenge_data
20,0.8,1,car,960,406,1106,491,0.0,1.0,0.0,2.0,9.42,3.04,challenge_data
21,0.84,1,car,959,405,1107,490,-1.0,-1.0,1.0,-1.0,9.29,1.33,challenge_data
22,0.88,1,car,958,404,1110,490,-1.0,-1.0,3.0,0.0,9.05,1.18,challenge_data
23,0.92,1,car,959,405,1115,490,1.0,1.0,5.0,0.0,8.81,1.13,challenge_data
24,0.96,1,car,959,405,1118,489,0.0,0.0,3.0,-1.0,8.65,1.16,challenge_data
25,1.0,1,car,958,404,1119,489,-1.0,-1.0,1.0,0.0,8.54,1.14,challenge_data
26,1.04,1,car,958,403,1118,490,0.0,-1.0,-1.0,1.0,8.59,1.23,challenge_data
27,1.08,1,car,959,402,1116,491,1.0,-1.0,-2.0,1.0,8.76,1.21,challenge_data
28,1.12,1,car,961,403,1116,492,2.0,1.0,0.0,1.0,8.87,2.67,challenge_data
29,1.16,1,car,959,403,1116,491,-2.0,0.0,0.0,-1.0,8.76,2.28,challenge_data
30,1.2,1,car,961,402,1123,491,2.0,-1.0,7.0,0.0,8.49,2.35,challenge_data
31,1.24,1,car,963,403,1127,491,2.0,1.0,4.0,0.0,8.38,2.65,challenge_data
